date,open,high,low,close
1620345600000.0,1.6491,1.6542,1.6463,1.6477
1620345900000.0,1.6478,1.6904,1.6456,1.6846
1620346200000.0,1.6845,1.6976,1.6769,1.6871
1620346500000.0,1.6872,1.6949,1.6791,1.6907
1620346800000.0,1.6908,1.6918,1.6681,1.6681
1620347100000.0,1.668,1.6774,1.6567,1.6589
1620347400000.0,1.6592,1.6608,1.6479,1.6509
1620347700000.0,1.6509,1.6568,1.6314,1.6367
1620348000000.0,1.6368,1.6455,1.633,1.6402
1620348300000.0,1.6402,1.65,1.6366,1.6375
1620348600000.0,1.6376,1.6437,1.6315,1.6318
1620348900000.0,1.6315,1.6393,1.6087,1.6095
1620349200000.0,1.6095,1.6267,1.609,1.6166
1620349500000.0,1.6171,1.6171,1.6012,1.6019
1620349800000.0,1.6021,1.6078,1.5873,1.59
1620350100000.0,1.5902,1.615,1.59,1.612
1620350400000.0,1.6121,1.6161,1.6074,1.6145
1620350700000.0,1.6145,1.6195,1.608,1.6159
1620351000000.0,1.6161,1.6167,1.6021,1.613
1620351300000.0,1.613,1.6162,1.6005,1.6018
1620351600000.0,1.602,1.6102,1.5953,1.6038
1620351900000.0,1.6039,1.6135,1.593,1.5957
1620352200000.0,1.5957,1.6048,1.5933,1.5942
1620352500000.0,1.5945,1.6028,1.5907,1.5941
1620352800000.0,1.5941,1.606,1.5874,1.6004
1620353100000.0,1.6001,1.6068,1.5989,1.5991
1620353400000.0,1.5991,1.617,1.5982,1.6166
1620353700000.0,1.6165,1.6176,1.612,1.6159
1620354000000.0,1.616,1.6176,1.6112,1.6143
1620354300000.0,1.6143,1.616,1.5985,1.5992
1620354600000.0,1.5991,1.6004,1.57,1.5879
1620354900000.0,1.5879,1.5895,1.5616,1.5618
1620355200000.0,1.5627,1.5713,1.5555,1.5681
1620355500000.0,1.5675,1.5927,1.5674,1.5901
1620355800000.0,1.5899,1.5954,1.583,1.5865
1620356100000.0,1.5871,1.5894,1.5801,1.584
1620356400000.0,1.5841,1.6013,1.5736,1.5982
1620356700000.0,1.5982,1.5987,1.5847,1.5953
1620357000000.0,1.5953,1.599,1.5824,1.5865
1620357300000.0,1.5867,1.5959,1.5786,1.5888
1620357600000.0,1.5883,1.5921,1.5722,1.5737
1620357900000.0,1.5739,1.5739,1.5572,1.5588
1620358200000.0,1.5599,1.5774,1.5544,1.5701
1620358500000.0,1.5702,1.584,1.5657,1.5788
1620358800000.0,1.5788,1.5847,1.5734,1.5745
1620359100000.0,1.5744,1.5888,1.5737,1.588
1620359400000.0,1.588,1.588,1.5793,1.5801
1620359700000.0,1.58,1.5817,1.5724,1.5764
1620360000000.0,1.5764,1.5764,1.5601,1.5607
1620360300000.0,1.5603,1.5668,1.5493,1.5493
1620360600000.0,1.5494,1.5608,1.5431,1.5603
1620360900000.0,1.5602,1.5711,1.5546,1.5706
1620361200000.0,1.5705,1.571,1.5538,1.559
1620361500000.0,1.5589,1.5589,1.5423,1.5432
1620361800000.0,1.5432,1.5549,1.5407,1.5447
1620362100000.0,1.5447,1.5517,1.526,1.5354
1620362400000.0,1.5353,1.5586,1.5343,1.5585
1620362700000.0,1.5586,1.5642,1.5469,1.5626
1620363000000.0,1.562,1.5654,1.5504,1.5625
1620363300000.0,1.5627,1.5843,1.5627,1.5819
1620363600000.0,1.5818,1.5819,1.573,1.5779
1620363900000.0,1.578,1.5882,1.5778,1.587
1620364200000.0,1.5869,1.5932,1.585,1.5912
1620364500000.0,1.5911,1.595,1.5826,1.5899
1620364800000.0,1.5899,1.5955,1.584,1.5903
1620365100000.0,1.5903,1.5955,1.5869,1.5951
1620365400000.0,1.5951,1.6026,1.5902,1.6025
1620365700000.0,1.6026,1.6085,1.5962,1.6083
1620366000000.0,1.6082,1.6147,1.6006,1.6098
1620366300000.0,1.6097,1.6131,1.6024,1.6081
1620366600000.0,1.6081,1.6135,1.5972,1.6023
1620366900000.0,1.6026,1.6092,1.6015,1.6018
1620367200000.0,1.6017,1.6021,1.5844,1.5848
1620367500000.0,1.5849,1.6089,1.5849,1.6078
1620367800000.0,1.6078,1.6088,1.6006,1.6074
1620368100000.0,1.6075,1.6174,1.6057,1.6154
1620368400000.0,1.6151,1.6187,1.6119,1.6126
1620368700000.0,1.6126,1.6194,1.6116,1.619
1620369000000.0,1.619,1.62,1.6128,1.6157
1620369300000.0,1.6156,1.62,1.6127,1.6186
1620369600000.0,1.6186,1.6315,1.6163,1.6307
1620369900000.0,1.6308,1.6349,1.6261,1.629
1620370200000.0,1.6288,1.6331,1.6274,1.6289
1620370500000.0,1.6292,1.637,1.6265,1.6266
