date,open,high,low,close
1619827200000.0,1.4029,1.4047,1.393,1.4033
1619827500000.0,1.4032,1.4039,1.3981,1.3995
1619827800000.0,1.3983,1.4009,1.3924,1.3967
1619828100000.0,1.396,1.396,1.3893,1.392
1619828400000.0,1.3912,1.3959,1.3897,1.3925
1619828700000.0,1.3925,1.3971,1.3916,1.3967
1619829000000.0,1.3969,1.3982,1.394,1.3954
1619829300000.0,1.3952,1.397,1.3935,1.3946
1619829600000.0,1.395,1.3969,1.3923,1.3965
1619829900000.0,1.3963,1.3992,1.3941,1.396
1619830200000.0,1.3963,1.3969,1.3823,1.3861
1619830500000.0,1.3865,1.39,1.3849,1.3876
1619830800000.0,1.3871,1.3884,1.3775,1.3782
1619831100000.0,1.3782,1.3804,1.3716,1.3751
1619831400000.0,1.375,1.3815,1.3742,1.3789
1619831700000.0,1.3789,1.3819,1.377,1.3792
1619832000000.0,1.379,1.3845,1.3772,1.3845
1619832300000.0,1.3845,1.3849,1.3812,1.3838
1619832600000.0,1.3847,1.3878,1.3809,1.3878
1619832900000.0,1.3878,1.3925,1.3874,1.391
1619833200000.0,1.391,1.3986,1.3905,1.3965
1619833500000.0,1.3964,1.3964,1.39,1.3903
1619833800000.0,1.3903,1.3932,1.3885,1.39
1619834100000.0,1.3908,1.3976,1.3892,1.3976
1619834400000.0,1.3979,1.4077,1.3977,1.4074
1619834700000.0,1.4069,1.4106,1.4023,1.41
1619835000000.0,1.4093,1.4139,1.4068,1.4136
1619835300000.0,1.4125,1.4129,1.4064,1.4069
1619835600000.0,1.4065,1.4161,1.4062,1.4155
1619835900000.0,1.4162,1.42,1.4109,1.4136
1619836200000.0,1.4134,1.4157,1.4102,1.4144
1619836500000.0,1.4158,1.416,1.4128,1.4141
1619836800000.0,1.4142,1.4168,1.4136,1.4158
1619837100000.0,1.4146,1.416,1.4117,1.4153
1619837400000.0,1.415,1.416,1.4109,1.4135
1619837700000.0,1.4138,1.416,1.412,1.4127
1619838000000.0,1.4118,1.4152,1.4114,1.4152
1619838300000.0,1.4151,1.4176,1.4143,1.4153
1619838600000.0,1.4152,1.4157,1.4051,1.4087
1619838900000.0,1.4091,1.4125,1.4073,1.4089
1619839200000.0,1.4096,1.4098,1.4055,1.4072
1619839500000.0,1.4072,1.4113,1.4051,1.4097
1619839800000.0,1.4098,1.4177,1.408,1.4127
1619840100000.0,1.4118,1.4125,1.409,1.409
1619840400000.0,1.4091,1.415,1.4078,1.4114
1619840700000.0,1.4105,1.4149,1.4082,1.4114
1619841000000.0,1.4113,1.4116,1.4092,1.4104
1619841300000.0,1.4095,1.4135,1.4095,1.4132
1619841600000.0,1.4129,1.4185,1.4122,1.4143
1619841900000.0,1.4144,1.4192,1.4135,1.4186
1619842200000.0,1.4189,1.419,1.4135,1.4153
1619842500000.0,1.4151,1.4163,1.4118,1.4139
1619842800000.0,1.414,1.4185,1.4101,1.4175
1619843100000.0,1.4179,1.4182,1.4051,1.4075
1619843400000.0,1.4066,1.4083,1.4002,1.405
1619843700000.0,1.4039,1.4039,1.3981,1.4018
1619844000000.0,1.4023,1.4027,1.3969,1.3993
1619844300000.0,1.3994,1.4026,1.397,1.4025
1619844600000.0,1.4025,1.4046,1.4016,1.4034
1619844900000.0,1.4033,1.4066,1.402,1.4037
1619845200000.0,1.4045,1.4053,1.399,1.4018
1619845500000.0,1.4013,1.4046,1.4004,1.4019
1619845800000.0,1.4014,1.4028,1.3995,1.402
1619846100000.0,1.4019,1.4021,1.3996,1.4013
1619846400000.0,1.4013,1.4108,1.4013,1.4094
1619846700000.0,1.4094,1.41,1.4061,1.4077
1619847000000.0,1.4081,1.41,1.4071,1.4075
1619847300000.0,1.4074,1.41,1.4062,1.408
1619847600000.0,1.4084,1.4087,1.4017,1.4017
1619847900000.0,1.4018,1.4035,1.4015,1.4027
1619848200000.0,1.4029,1.4034,1.392,1.3935
1619848500000.0,1.3941,1.3965,1.3919,1.3919
1619848800000.0,1.3922,1.3938,1.3864,1.3868
1619849100000.0,1.3874,1.3922,1.387,1.3917
1619849400000.0,1.3911,1.3939,1.389,1.3903
1619849700000.0,1.3904,1.3908,1.3863,1.3892
1619850000000.0,1.3892,1.3901,1.3863,1.3864
1619850300000.0,1.3864,1.3886,1.3851,1.3851
1619850600000.0,1.3851,1.3874,1.3831,1.3873
1619850900000.0,1.3873,1.3873,1.3831,1.3871
1619851200000.0,1.3871,1.3872,1.3834,1.3854
1619851500000.0,1.3859,1.403,1.3815,1.3966
1619851800000.0,1.3974,1.3987,1.3938,1.3961
1619852100000.0,1.3964,1.3976,1.392,1.3928
1619852400000.0,1.3928,1.3975,1.39,1.3933
1619852700000.0,1.3931,1.3931,1.3839,1.3839
1619853000000.0,1.3849,1.3861,1.3692,1.3756
1619853300000.0,1.3759,1.3847,1.375,1.3823
1619853600000.0,1.3833,1.3848,1.3823,1.3848
1619853900000.0,1.3848,1.3863,1.3806,1.3818
1619854200000.0,1.3813,1.3847,1.3789,1.38
1619854500000.0,1.3792,1.381,1.3765,1.377
1619854800000.0,1.3768,1.3796,1.3758,1.3761
1619855100000.0,1.3763,1.3804,1.3747,1.3777
1619855400000.0,1.3778,1.3793,1.3755,1.3776
1619855700000.0,1.3781,1.3791,1.3738,1.3756
1619856000000.0,1.3758,1.3813,1.3749,1.3791
1619856300000.0,1.3797,1.3898,1.3791,1.3858
1619856600000.0,1.3859,1.3899,1.385,1.3858
1619856900000.0,1.3866,1.3881,1.3841,1.3872
1619857200000.0,1.3872,1.3877,1.38,1.382
1619857500000.0,1.3821,1.3865,1.3821,1.3859
1619857800000.0,1.3858,1.386,1.3808,1.3809
1619858100000.0,1.3819,1.3819,1.3739,1.375
1619858400000.0,1.3749,1.3763,1.3719,1.3735
1619858700000.0,1.3735,1.3767,1.3726,1.373
1619859000000.0,1.373,1.3756,1.3723,1.3741
1619859300000.0,1.373,1.3753,1.3693,1.3693
1619859600000.0,1.3693,1.3693,1.3481,1.3524
1619859900000.0,1.3524,1.3596,1.3477,1.3541
1619860200000.0,1.3538,1.3595,1.3531,1.3549
1619860500000.0,1.3544,1.3569,1.3504,1.3549
1619860800000.0,1.3552,1.3631,1.3549,1.3631
1619861100000.0,1.3631,1.3663,1.3621,1.3651
1619861400000.0,1.3653,1.3719,1.3648,1.3717
1619861700000.0,1.372,1.3749,1.368,1.3746
1619862000000.0,1.3749,1.3777,1.373,1.3765
1619862300000.0,1.3765,1.377,1.3705,1.3741
1619862600000.0,1.3734,1.3741,1.3648,1.3653
1619862900000.0,1.3652,1.3693,1.3646,1.3652
1619863200000.0,1.3655,1.3671,1.359,1.3642
1619863500000.0,1.3648,1.366,1.3608,1.3658
1619863800000.0,1.3658,1.3666,1.3599,1.3609
1619864100000.0,1.361,1.3627,1.3562,1.3616
1619864400000.0,1.362,1.365,1.3607,1.3618
1619864700000.0,1.3618,1.3684,1.361,1.368
1619865000000.0,1.3683,1.3722,1.3679,1.3716
1619865300000.0,1.3716,1.3721,1.3637,1.3683
1619865600000.0,1.3683,1.3719,1.3659,1.3702
1619865900000.0,1.3697,1.3734,1.3682,1.373
1619866200000.0,1.373,1.387,1.373,1.3785
1619866500000.0,1.3794,1.3838,1.3777,1.3815
1619866800000.0,1.3809,1.3864,1.3806,1.3829
1619867100000.0,1.3833,1.3891,1.3825,1.387
1619867400000.0,1.3869,1.3892,1.3859,1.3884
1619867700000.0,1.3884,1.3894,1.3867,1.3874
1619868000000.0,1.3866,1.389,1.3855,1.3885
1619868300000.0,1.388,1.3926,1.387,1.3926
1619868600000.0,1.3927,1.3929,1.3889,1.3897
1619868900000.0,1.3896,1.3928,1.3889,1.3903
1619869200000.0,1.3904,1.3929,1.3881,1.3891
1619869500000.0,1.3895,1.3909,1.3883,1.3891
1619869800000.0,1.3891,1.3917,1.3891,1.3912
1619870100000.0,1.3917,1.3918,1.3896,1.3908
1619870400000.0,1.3913,1.3934,1.3905,1.3932
1619870700000.0,1.3932,1.3948,1.3856,1.387
1619871000000.0,1.387,1.3876,1.3812,1.3824
1619871300000.0,1.3829,1.386,1.382,1.3849
1619871600000.0,1.3852,1.3952,1.385,1.3907
1619871900000.0,1.39,1.3908,1.3866,1.3879
1619872200000.0,1.3876,1.3902,1.3858,1.3888
1619872500000.0,1.3892,1.3915,1.3882,1.3904
1619872800000.0,1.3906,1.3911,1.3866,1.3897
1619873100000.0,1.3895,1.39,1.3829,1.3842
1619873400000.0,1.3835,1.3891,1.3835,1.3889
1619873700000.0,1.3885,1.389,1.3803,1.3844
1619874000000.0,1.3839,1.3887,1.3833,1.3848
1619874300000.0,1.3848,1.3894,1.3806,1.3873
1619874600000.0,1.3867,1.3932,1.3866,1.3917
1619874900000.0,1.3922,1.3972,1.388,1.3967
1619875200000.0,1.3967,1.4017,1.396,1.4011
1619875500000.0,1.4012,1.4036,1.3981,1.3994
1619875800000.0,1.4,1.4021,1.3939,1.3956
1619876100000.0,1.3953,1.3963,1.3836,1.3841
1619876400000.0,1.384,1.3899,1.3833,1.3853
1619876700000.0,1.385,1.3901,1.384,1.3851
1619877000000.0,1.3839,1.3904,1.3838,1.3877
1619877300000.0,1.3873,1.3884,1.385,1.385
1619877600000.0,1.3851,1.3875,1.3815,1.3817
1619877900000.0,1.3814,1.3816,1.3736,1.3746
1619878200000.0,1.3744,1.377,1.3693,1.375
1619878500000.0,1.3745,1.3811,1.3716,1.3785
1619878800000.0,1.3785,1.384,1.378,1.3833
1619879100000.0,1.3833,1.3838,1.3793,1.3793
1619879400000.0,1.3801,1.384,1.3762,1.3817
1619879700000.0,1.3818,1.3818,1.3753,1.3773
1619880000000.0,1.377,1.3795,1.3754,1.3756
1619880300000.0,1.3755,1.3797,1.3736,1.3791
1619880600000.0,1.3791,1.383,1.3713,1.3786
1619880900000.0,1.3786,1.3812,1.3772,1.381
1619881200000.0,1.3809,1.384,1.3781,1.3791
1619881500000.0,1.3794,1.3794,1.3705,1.3739
1619881800000.0,1.3743,1.3799,1.3713,1.3768
1619882100000.0,1.377,1.3854,1.3768,1.3832
1619882400000.0,1.3844,1.3875,1.3764,1.3773
1619882700000.0,1.3764,1.3765,1.3664,1.3713
1619883000000.0,1.3708,1.3785,1.3694,1.3755
1619883300000.0,1.3752,1.3804,1.3739,1.3804
1619883600000.0,1.3806,1.3841,1.3766,1.3841
1619883900000.0,1.3838,1.3927,1.3819,1.3926
