,date,open,high,low,Close
0,1617235200000.0,0.40578,0.41035,0.40553,0.4102
1,1617235500000.0,0.41005,0.41055,0.40714,0.40744
2,1617235800000.0,0.40762,0.40804,0.40412,0.4044
3,1617236100000.0,0.40428,0.40537,0.40395,0.40424
4,1617236400000.0,0.40433,0.40627,0.40402,0.40556
5,1617236700000.0,0.40556,0.40564,0.40457,0.405
6,1617237000000.0,0.405,0.40613,0.40492,0.40606
7,1617237300000.0,0.40606,0.40608,0.4049,0.40538
8,1617237600000.0,0.40534,0.40594,0.40487,0.40511
9,1617237900000.0,0.40517,0.40694,0.40485,0.40657
10,1617238200000.0,0.4066,0.40695,0.40551,0.40653
11,1617238500000.0,0.40637,0.40828,0.40625,0.40786
12,1617238800000.0,0.40786,0.4092,0.40689,0.4091
13,1617239100000.0,0.40902,0.41381,0.40835,0.41367
14,1617239400000.0,0.41368,0.41661,0.41209,0.41627
15,1617239700000.0,0.41622,0.41736,0.41493,0.41679
16,1617240000000.0,0.41681,0.4175,0.41254,0.41288
17,1617240300000.0,0.4129,0.4137,0.40891,0.41087
18,1617240600000.0,0.41101,0.41321,0.41079,0.4129
19,1617240900000.0,0.41265,0.41395,0.41173,0.41272
20,1617241200000.0,0.41272,0.4128,0.41041,0.41089
21,1617241500000.0,0.411,0.41488,0.41076,0.4137
22,1617241800000.0,0.41371,0.4143,0.413,0.41337
23,1617242100000.0,0.41347,0.41447,0.41263,0.41375
24,1617242400000.0,0.41372,0.41589,0.41366,0.41478
25,1617242700000.0,0.41461,0.41715,0.41406,0.41661
26,1617243000000.0,0.41677,0.41762,0.41484,0.41521
27,1617243300000.0,0.41521,0.41767,0.41461,0.41657
28,1617243600000.0,0.41645,0.41678,0.415,0.41515
29,1617243900000.0,0.41511,0.4154,0.4143,0.41443
30,1617244200000.0,0.41453,0.41502,0.41387,0.41467
31,1617244500000.0,0.41486,0.41543,0.41422,0.41474
32,1617244800000.0,0.41461,0.415,0.41332,0.41416
33,1617245100000.0,0.41396,0.4152,0.41396,0.41475
34,1617245400000.0,0.41477,0.41521,0.41398,0.41422
35,1617245700000.0,0.41436,0.41436,0.41269,0.41279
36,1617246000000.0,0.41273,0.41283,0.40806,0.41048
37,1617246300000.0,0.41049,0.41112,0.40973,0.4104
38,1617246600000.0,0.41048,0.41236,0.41028,0.41131
39,1617246900000.0,0.41139,0.41242,0.4109,0.41134
40,1617247200000.0,0.41134,0.4123,0.41134,0.41223
41,1617247500000.0,0.41201,0.41214,0.41,0.41074
42,1617247800000.0,0.41061,0.41229,0.41048,0.4119
43,1617248100000.0,0.41187,0.41187,0.41091,0.41121
44,1617248400000.0,0.41121,0.41132,0.40925,0.41056
45,1617248700000.0,0.41049,0.41055,0.408,0.40941
46,1617249000000.0,0.40948,0.41096,0.40908,0.40982
47,1617249300000.0,0.40994,0.41083,0.40976,0.41065
48,1617249600000.0,0.41064,0.41164,0.409,0.40967
49,1617249900000.0,0.40967,0.41079,0.4092,0.40967
50,1617250200000.0,0.40967,0.40996,0.40875,0.40895
51,1617250500000.0,0.40901,0.41104,0.40851,0.41071
52,1617250800000.0,0.41075,0.41245,0.41029,0.4123
53,1617251100000.0,0.41228,0.41228,0.4111,0.41141
54,1617251400000.0,0.41138,0.41351,0.41124,0.41261
55,1617251700000.0,0.41261,0.41279,0.40955,0.41105
56,1617252000000.0,0.41101,0.4117,0.41091,0.41103
57,1617252300000.0,0.41101,0.41115,0.41033,0.41047
58,1617252600000.0,0.41053,0.41053,0.40611,0.40902
59,1617252900000.0,0.40908,0.41054,0.4085,0.41008
60,1617253200000.0,0.41024,0.41196,0.40837,0.40891
61,1617253500000.0,0.409,0.40982,0.4086,0.40976
62,1617253800000.0,0.40968,0.41031,0.40851,0.40889
